review_id,customer_id,product_id,rating,review_text
REV-000001,CUST-02528,PROD-0142,4,Extremely satisfied with this purchase! Highly recommended.
REV-000002,CUST-02747,PROD-0170,5,"Very reliable product, works perfectly as described."
REV-000003,CUST-01013,PROD-0221,4,Exceeded my expectations! Excellent customer service.
REV-000004,CUST-00430,PROD-0010,5,Extremely satisfied with this purchase! Highly recommended.
REV-000005,CUST-01451,PROD-0232,4,"Very reliable product, works perfectly as described."
REV-000006,CUST-01506,PROD-0152,1,Poor packaging and wrong color sent.
REV-000007,CUST-02162,PROD-0039,4,"Very reliable product, works perfectly as described."
REV-000008,CUST-00652,PROD-0219,5,Exceeded my expectations! Excellent customer service.
REV-000009,CUST-01899,PROD-0206,5,Great product quality and fast shipping. Will buy again.
REV-000010,CUST-00507,PROD-0071,5,Great product quality and fast shipping. Will buy again.
REV-000011,CUST-02784,PROD-0078,4,Exceeded my expectations! Excellent customer service.
REV-000012,CUST-02397,PROD-0131,2,Not worth the price. Stopped working after 3 days.
REV-000013,CUST-03245,PROD-0004,1,Item arrived late and damaged. Dissatisfied with quality.
REV-000014,CUST-02407,PROD-0198,3,Average product. Does the job but nothing extraordinary.
REV-000015,CUST-02710,PROD-0038,4,"Very reliable product, works perfectly as described."
REV-000016,CUST-01557,PROD-0116,4,Top notch quality and premium packaging.
REV-000017,CUST-00284,PROD-0071,3,Average product. Does the job but nothing extraordinary.
REV-000018,CUST-01592,PROD-0241,4,Exceeded my expectations! Excellent customer service.
REV-000019,CUST-01665,PROD-0186,2,Not worth the price. Stopped working after 3 days.
REV-000020,CUST-00640,PROD-0161,5,"Very reliable product, works perfectly as described."
REV-000021,CUST-01471,PROD-0157,4,Extremely satisfied with this purchase! Highly recommended.
REV-000022,CUST-00582,PROD-0071,2,Customer service was slow to respond to my refund query.
REV-000023,CUST-03110,PROD-0060,2,Not worth the price. Stopped working after 3 days.
REV-000024,CUST-00760,PROD-0059,5,Extremely satisfied with this purchase! Highly recommended.
REV-000025,CUST-01444,PROD-0079,3,Average product. Does the job but nothing extraordinary.
REV-000026,CUST-03268,PROD-0066,3,Average product. Does the job but nothing extraordinary.
REV-000027,CUST-02764,PROD-0143,2,Customer service was slow to respond to my refund query.
REV-000028,CUST-01182,PROD-0142,2,Not worth the price. Stopped working after 3 days.
REV-000029,CUST-01553,PROD-0199,2,Would not recommend. Cheap materials used.
REV-000030,CUST-02405,PROD-0080,3,Average product. Does the job but nothing extraordinary.
REV-000031,CUST-00146,PROD-0080,1,Would not recommend. Cheap materials used.
REV-000032,CUST-02026,PROD-0129,5,Extremely satisfied with this purchase! Highly recommended.
REV-000033,CUST-03093,PROD-0036,4,"Very reliable product, works perfectly as described."
REV-000034,CUST-01557,PROD-0176,3,Average product. Does the job but nothing extraordinary.
REV-000035,CUST-00711,PROD-0083,3,Average product. Does the job but nothing extraordinary.
REV-000036,CUST-02594,PROD-0044,4,"Very reliable product, works perfectly as described."
